Filename,Business Events,Chennai Floods,Chennai International Film Festival,Disasters and Accidents,Hockey Events,ICC Cricket T20 World Cup 2016,PM Narendra Modi,Tamil Nadu State Elections,Tennis Events,Vehicle World
Business_Events_news4.txt,0.08572336418018531,0.07172760218243455,0.08684060603366214,0.06957247293964654,0.04008311091015581,0.07246839029485615,0.13762573706010292,0.08186598143066907,0.07021188321876251,0.10376183379218831
Business_Events_news5.txt,0.03543105480127294,0.029918116490218766,0.08853845973458305,0.03977344793409554,0.026493738660483847,0.053904960689143654,0.12016463726103738,0.042836632307362496,0.03987286088287362,0.030519448272704947
Business_Events_news6.txt,0.05491698431391383,0.03817537501616941,0.09656572557811846,0.03229106229354118,0.011264469941541923,0.06889024985984919,0.06020725301920683,0.07608090965632854,0.04059488418787,0.06682430813174134
Business_Events_news7.txt,0.08917656746444172,0.047057561216130146,0.08591751015460856,0.05660368670212382,0.029918865564312506,0.046848131964774026,0.09342705606523695,0.061684725870122005,0.028915669881655438,0.07320411784238208
Chennai_Floods_news10.txt,0.005462836409361495,0.11147997333527267,0.006213732261245883,0.010408835386740933,0.03423090921464469,0.0072979554271045835,0.000574173996531961,0.00039419508044045656,0.0,0.0017359954257474132
Chennai_Floods_news11.txt,0.0025917819857722902,0.22014095740770323,0.004013115330637603,0.0061118487699701575,0.007937625292342371,0.0018735995626780403,0.004616631874991809,0.008430020988314874,0.0035166020945821223,5.146489821101057e-10
Chennai_Floods_news12.txt,0.006670649208625982,0.5316575296531807,0.01440106443401906,0.015274289210934782,0.010640814062495568,0.002892451752058628,0.0077276502484395675,0.025134057553041593,0.0,0.0026767725899469394
Chennai_Floods_news13.txt,0.031039966001494817,0.39292121706180344,0.04692124162143209,0.05894546297610785,0.012256527190470842,0.03867461010942827,0.05946977033695774,0.03696327961422158,0.005341959124352419,0.034506707213982246
Chennai_Floods_news19.txt,0.021472186294423698,0.9983499285626554,0.03325973199507997,0.023677131457118833,0.008638680847040916,0.00484235994051976,0.003473539081471741,0.03483022980001174,7.960704326449452e-10,0.02270408883892452
Chennai_Floods_news4.txt,0.033503997473937126,0.6671796675915493,0.054793534858853826,0.01636811034101127,0.008686207923803166,0.013139033799140339,0.04107645596326953,0.03717579866419949,0.01082076537103317,0.05294169517631927
Chennai_Floods_news5.txt,0.006503748993617767,0.5527924927151568,0.004640247725649161,0.006711334414902965,0.008307018676292487,0.01102931049218086,0.0019265697381389538,0.012415753246191135,0.003297806876760626,0.0020677033378784116
Chennai_Floods_news6.txt,0.03584421726572743,0.7277502015494195,0.041245853119173566,0.02811462007987017,0.013532925459576396,8.776156281311708e-11,0.013018245344285412,0.05338153448168981,0.03104532633661958,0.0249555686538574
Chennai_Floods_news7.txt,0.03899367711561454,0.9080215091472916,0.03378966525993265,0.057173411621760616,0.015084808801228398,0.027223708488759737,0.023403191375583877,0.03118338923878986,0.00258451472852632,0.03540979285261679
Chennai_Floods_news8.txt,0.036254448694594224,0.5298812664364987,0.06551663122397092,0.04392881436900049,0.022067981625395562,0.029627556297464233,0.031877522772470065,0.03347323256043647,0.013504817343143844,0.033111646122916914
Chennai_Floods_news9.txt,0.04012321229965995,1.0882972024998547,0.04002065664081582,0.05803097626922187,0.02301562970419622,0.01867786863431027,0.029457893092348645,0.013595681184803894,0.006628240429349704,0.049064621261565536
Chennai_International_Film_Festival_news4.txt,0.0380778814417922,0.06913482988192426,0.30903759831052297,0.01956750537091281,0.02010083647095114,0.02965590194421581,0.04741003848965433,0.044446682797600376,0.028588418568716554,0.05790005633745528
Chennai_International_Film_Festival_news5.txt,0.062163600011006216,0.07272732927716251,0.22107250524299937,0.04208713264931856,0.031269410757165744,0.04875155252030063,0.05663817579726331,0.06913402730471735,0.02363974908481952,0.05732545974660623
Chennai_International_Film_Festival_news6.txt,0.053947158197458746,0.08668179081853776,0.17597653058369084,0.05429527268769156,0.0280135562376545,0.04221041012405461,0.07116275158389737,0.052993477762200175,0.027688111456359292,0.05598200077246825
Chennai_International_Film_Festival_news7.txt,0.04915229129209296,0.09957804504117544,0.16453725161289973,0.05296452704672818,0.018127818847378765,0.033447868654943994,0.0627585102731351,0.07759451166997476,0.028240365454295566,0.05211556011875785
Chennai_International_Film_Festival_news8.txt,0.08529784589614496,0.16742046003550706,0.24430978883631238,0.06627700667229461,0.03852741715409054,0.06739947812742941,0.06082835267454453,0.06966255993515787,0.04082396777445066,0.07771113373645512
Chennai_International_Film_Festival_news9.txt,0.11301034320175803,0.14989735115370806,0.2945766321206554,0.13170820858436666,0.06520736525759463,0.09168419155032206,0.1069969991075586,0.10702485542797238,0.06939617842549134,0.12636454214130832
